Variables seleccionadas;Mean squared error;R2;Accuray
['x13'];5.5664772109926774;-0.1933530545180877;0.625
['x25'];4.029418834534859;-0.21266253908836408;0.8333333333333334
['x31'];3.1987611206759805;-0.01649143247068907;0.7916666666666666
['x31'];3.957633225339807;-0.10979181297371143;0.7083333333333334
['x23'];5.462282935863271;0.11615154067480993;0.7916666666666666
['x32'];5.094261408825033;-0.3979495236958872;0.75
['x32'];3.378770597601541;-0.06457887178032262;0.875
['x1'];4.90338989333933;-0.2895135905269177;0.8333333333333334
['x23'];4.643850018331526;0.02791430667278083;0.7083333333333334
['x30'];4.44098742961953;-0.12439927306198295;0.875
['x31'];5.0907028147387114;0.02276435338251337;0.7083333333333334
['x13'];3.538169764303545;-0.17519091440456114;0.9166666666666666
['x32'];5.963689025909758;-0.5616551611960241;0.75
['x1'];5.000580280836327;-0.006290505094614041;0.75
['x23'];6.560605757120949;0.05566239599334366;0.7916666666666666
['x31'];5.473719224202181;-0.017918308435437513;0.7916666666666666
['x23'];4.539485529459491;0.072664378932633;0.75
['x12'];5.550685022408746;-0.13850840640371698;0.7083333333333334
['x25'];4.921745767903094;-0.1204610811759732;0.75
['x23'];5.32531116560492;-0.08786312522600093;0.8333333333333334
['x31'];3.5874706552535245;-0.5819965771969822;0.7083333333333334
['x31'];4.437451359857156;-0.41786172013811673;0.625
['x12'];5.320887472177617;-0.2803551818300387;0.7916666666666666
['x23'];4.40088601926854;-0.22772276180976236;0.75
['x23'];2.843944066060894;-0.12065331158051307;0.875
['x25'];5.515239055729523;-0.24471264647311952;0.75
['x23'];4.151567666029991;-0.2537103880068827;0.875
['x31'];2.870003791207321;0.017811105406778882;0.875
['x1'];4.73125862732507;-0.023638436540779573;0.7916666666666666
['x23'];5.058492877839394;-0.06107086864844602;0.625
['x1'];2.8621547099915463;-0.28475705016655484;0.875
['x32'];2.8894680001650994;0.01007316857502849;0.7083333333333334
['x13'];4.556063413495759;-0.07748013956991318;0.7083333333333334
['x12'];4.3260395828812035;-0.16627921546166347;0.8333333333333334
['x11'];5.9119642407572215;-0.20928759697949584;0.6666666666666666
['x31'];5.412755440997536;-0.2946412849818094;0.5833333333333334
['x32'];2.0117477534784722;-0.08009112690034303;0.9166666666666666
['x13'];5.8982465766296075;-0.46317409664850695;0.5416666666666666
['x24'];3.5175932997908403;-0.06835538970517563;0.7916666666666666
['x31'];4.502999050899887;0.03120446633349372;0.7083333333333334
