Variables seleccionadas;Mean squared error;R2;Accuray
Index(['x23'], dtype='object');4.294350181024582;0.05547233189830081;0.7916666666666666
Index(['x31'], dtype='object');4.932427187890016;-0.4843326519161104;0.7083333333333334
Index(['x23'], dtype='object');4.43414301989893;-0.08300613945383484;0.7916666666666666
Index(['x25'], dtype='object');4.926354869272645;-0.044667421177104094;0.6666666666666666
Index(['x23'], dtype='object');5.213392664374683;0.006894614934782384;0.7916666666666666
Index(['x23'], dtype='object');4.355375836242221;-0.2100471329716207;0.625
Index(['x25'], dtype='object');5.104132014646535;0.043324880605691285;0.7916666666666666
Index(['x1'], dtype='object');3.394106190836976;-0.23094024661724033;0.8333333333333334
Index(['x31'], dtype='object');5.603055160436532;-0.08478173500362307;0.875
Index(['x2'], dtype='object');6.3871232248735055;-0.03579294600879224;0.7083333333333334
Index(['x32'], dtype='object');4.408074974360648;-0.03788483039145185;0.7916666666666666
Index(['x1'], dtype='object');4.892954410996546;-0.004800799011780876;0.7916666666666666
Index(['x13'], dtype='object');5.913159876537809;-0.07265214931783137;0.5833333333333334
Index(['x25'], dtype='object');3.9149120355744995;-0.042858452879491526;0.7083333333333334
Index(['x32'], dtype='object');3.8271134553186954;0.057393942316259716;0.6666666666666666
Index(['x32'], dtype='object');4.502388960703963;-0.13906347295922994;0.7916666666666666
Index(['x23'], dtype='object');3.6280511013259833;0.14966970595168871;0.7916666666666666
Index(['x1'], dtype='object');3.211320763964359;-0.06276427768016557;0.875
Index(['x23'], dtype='object');4.4384085844450825;-0.1477788427698119;0.75
Index(['x1'], dtype='object');2.8840768835371358;-0.017509074883450992;0.7916666666666666
Index(['x23'], dtype='object');3.2536870000790787;0.07481017743177598;0.7083333333333334
Index(['x23'], dtype='object');6.346701923859503;-0.15446619705414966;0.7083333333333334
Index(['x23'], dtype='object');6.987366404084597;-0.07572429930671887;0.6666666666666666
Index(['x1'], dtype='object');4.996185806017694;-0.09674181278504457;0.6666666666666666
Index(['x23'], dtype='object');5.146221872505258;0.04399260712304787;0.7083333333333334
Index(['x31'], dtype='object');5.184189469739041;0.062105927543595896;0.7916666666666666
Index(['x25'], dtype='object');5.929999030435496;-0.10942474325169149;0.7083333333333334
Index(['x31'], dtype='object');4.035788560031464;-0.018339761093190576;0.6666666666666666
Index(['x32'], dtype='object');5.578314018803828;-0.009505425703758341;0.6666666666666666
Index(['x31'], dtype='object');4.79862480073584;-0.2881160056626797;0.9166666666666666
Index(['x25'], dtype='object');5.066304237091156;-0.1789720394967611;0.75
Index(['x32'], dtype='object');5.358965223252972;-0.17346114843557414;0.8333333333333334
Index(['x1'], dtype='object');4.368891655392317;-0.0785544121898063;0.7083333333333334
Index(['x25'], dtype='object');5.090365010989664;0.01920745846503824;0.7083333333333334
Index(['x31'], dtype='object');3.0899328175732386;0.09966990597690695;0.7916666666666666
Index(['x23'], dtype='object');5.698584266887562;-0.06839152988303909;0.875
Index(['x32'], dtype='object');4.439833294573508;-0.1631772924522179;0.7916666666666666
Index(['x31'], dtype='object');4.531027768464681;-0.16057657033830441;0.7916666666666666
Index(['x23'], dtype='object');4.424331737130799;0.05131031991775292;0.75
Index(['x31'], dtype='object');4.9300836102495165;0.04730805474927946;0.7916666666666666
Index(['x32'], dtype='object');5.154723992943832;-0.09532308446871807;0.6666666666666666
Index(['x13'], dtype='object');4.131737588353934;-0.14697498612052073;0.7916666666666666
Index(['x32'], dtype='object');4.630357986555591;-0.08316776462750153;0.7916666666666666
Index(['x1'], dtype='object');5.716618450012276;-0.10829846123018205;0.7083333333333334
Index(['x23'], dtype='object');3.770426911199517;-0.03600314583783981;0.875
Index(['x25'], dtype='object');3.8041442558250433;-0.033426838965079364;0.75
Index(['x1'], dtype='object');6.417055462628681;-0.48992226139559647;0.7916666666666666
Index(['x31'], dtype='object');2.96028854800648;-0.023713074604780005;0.75
Index(['x25'], dtype='object');3.6125241755750515;-0.011430281211885607;0.7916666666666666
Index(['x31'], dtype='object');3.413245599301557;-0.0285803391844186;0.7916666666666666
Index(['x32'], dtype='object');3.854729152280864;-0.4095187219908152;0.875
Index(['x31'], dtype='object');5.175611406538153;-0.0628315981368015;0.7083333333333334
Index(['x32'], dtype='object');5.39928439482318;-0.21599243090050857;0.75
Index(['x31'], dtype='object');4.96428583787013;-0.009076099746652355;0.75
Index(['x23'], dtype='object');3.260651962568319;-0.0907375810272415;0.6666666666666666
Index(['x25'], dtype='object');3.548513004556338;-0.10338117673149538;0.8333333333333334
Index(['x32'], dtype='object');3.8941724058954;0.054069284499691506;0.8333333333333334
Index(['x25'], dtype='object');3.5932226572824817;-0.2741558343294539;0.7916666666666666
Index(['x13'], dtype='object');5.223403438525215;-0.13568040220505595;0.7083333333333334
Index(['x2'], dtype='object');6.712458783393736;-0.07314343190797268;0.625
Index(['x31'], dtype='object');5.270034401288135;-0.08244411482462044;0.7916666666666666
Index(['x23'], dtype='object');2.9546726105287515;-0.18123143836881317;0.9166666666666666
Index(['x23'], dtype='object');3.7120069550787096;-0.12210301423103553;0.7916666666666666
Index(['x23'], dtype='object');4.945118387959758;0.01512805704385145;0.7916666666666666
Index(['x25'], dtype='object');5.472531782928143;-0.23655407107904813;0.7083333333333334
Index(['x31'], dtype='object');3.254532494966328;-0.21958552742580406;0.9583333333333334
Index(['x32'], dtype='object');4.090242370715373;-0.12031778854586661;0.8333333333333334
Index(['x31'], dtype='object');3.6067595527119707;-0.07871561782979142;0.7083333333333334
Index(['x23'], dtype='object');4.484421016623775;-0.006876540020106514;0.7916666666666666
Index(['x23'], dtype='object');4.266783931574764;-0.1871004050576528;0.75
Index(['x25'], dtype='object');3.038855556181664;-0.1794803666653002;0.7083333333333334
Index(['x13'], dtype='object');5.976452863266952;-0.17662730317889164;0.7083333333333334
Index(['x25'], dtype='object');4.150142438099544;-0.12518645969015507;0.7916666666666666
Index(['x31'], dtype='object');4.98977035591352;-0.014492512310519512;0.8333333333333334
Index(['x25'], dtype='object');5.555912762865255;-0.08947449687247055;0.7083333333333334
Index(['x23'], dtype='object');3.4765340176459567;0.17535788190040058;0.7916666666666666
Index(['x23'], dtype='object');3.451675156311623;-0.13146380042902917;0.8333333333333334
Index(['x1'], dtype='object');6.346140751748492;-0.06836938531736036;0.6666666666666666
Index(['x23'], dtype='object');3.93244365838664;-0.19087769109824637;0.875
Index(['x23'], dtype='object');5.695069364946207;-0.06884117183490135;0.6666666666666666
Index(['x32'], dtype='object');3.1186510911342533;-0.06372653219402569;0.875
Index(['x25'], dtype='object');4.541338034456859;-0.09709990491722564;0.7083333333333334
Index(['x25'], dtype='object');5.464550905627454;-0.12349992425176204;0.625
Index(['x1'], dtype='object');3.1979103167801717;-0.07653033802095122;0.8333333333333334
Index(['x31'], dtype='object');5.1862015560632475;0.058505723331258586;0.75
Index(['x25'], dtype='object');5.67435852606815;-0.06238108401903131;0.75
Index(['x32'], dtype='object');6.064816590438016;0.025316679351006677;0.7083333333333334
Index(['x1'], dtype='object');5.038545851502364;-0.27629173372363924;0.75
Index(['x32'], dtype='object');5.613990021353389;-0.46571537125543894;0.7916666666666666
Index(['x13'], dtype='object');4.432318066510896;-0.212855908447519;0.875
Index(['x25'], dtype='object');4.236305191507604;0.03552594120340613;0.75
Index(['x32'], dtype='object');4.81323051590005;-0.09836497991852333;0.75
Index(['x31'], dtype='object');6.116926775177583;-0.18242975206025358;0.6666666666666666
Index(['x32'], dtype='object');5.471397057075964;-0.030431038928578014;0.7083333333333334
Index(['x25'], dtype='object');5.6367201115000825;-0.012521827558735321;0.625
Index(['x23'], dtype='object');2.7567583688382413;-0.2197368451375996;0.6666666666666666
Index(['x32'], dtype='object');5.800910619105629;-0.3004616405483507;0.75
Index(['x32'], dtype='object');3.761041526564671;-0.47364895974760013;0.9166666666666666
Index(['x31'], dtype='object');5.339334937452182;-0.1337814025066213;0.7083333333333334
Index(['x13'], dtype='object');4.971827232944092;-0.2676469803705952;0.875
Index(['x23'], dtype='object');4.968693937832172;-0.20961013496329461;0.7916666666666666
