,Modelo,Median: Mean squared error,Mean: Mean squared error,Median: R2,Median: Accuray,Mean: Accuray
0,"['x12', 'x23', 'x25', 'x32']",3.925077596899217,3.9727646641307626,0.1410356018302623,0.7666666666666667,0.7542876209542876
0,"['x6', 'x7', 'x12', 'x23', 'x24', 'x25', 'x32']",3.8823220954175985,3.9181979984036297,0.1512919317388871,0.7666666666666667,0.7688688688688687
0,"['x6', 'x13', 'x20', 'x23', 'x25', 'x27', 'x31']",3.612059874705966,3.6750307802360997,0.1946458204368755,0.7333333333333333,0.7331664998331664
0,"['x1', 'x23', 'x25', 'x32']",3.887314898794581,3.9212124504090395,0.14433323868349002,0.7666666666666667,0.7540540540540541
0,"['x1', 'x23', 'x25', 'x31']",3.812297834919707,3.8967529104287673,0.14156154585084058,0.7666666666666667,0.7543209876543209
0,"['x12', 'x23', 'x24', 'x25', 'x32']",3.862812336677446,3.903222394960698,0.1405108050126389,0.7666666666666667,0.7757090423757091
0,"['x6', 'x7', 'x12', 'x23', 'x24', 'x25', 'x32']",3.933950218084762,3.9683892453144294,0.1260793367294013,0.7666666666666667,0.7606940273606941
0,"['x23', 'x25', 'x31']",3.85418209156239,3.9242631693781083,0.15042069441278005,0.7666666666666667,0.751051051051051
0,"['x13', 'x23', 'x25']",4.141741652413499,4.168143433961636,0.07908389280435357,0.7666666666666667,0.7674007340674008
0,"['x23', 'x25']",4.143074951139971,4.177025889223934,0.08193035412117822,0.7666666666666667,0.7742742742742743
