,Accuray,Mean squared error,Modelo_name,Parametro,R2,Variables
0,0.7666666666666667,3.059467431012998,ridge,1.0,0.19091373580075655,"x12,x23,x25,x32"
0,0.7,3.2996502436190545,ridge,1.0,0.09862329123350877,"x12,x23,x25,x32"
0,0.8666666666666667,3.188588495686888,svm,linear,0.09882893566035622,"x12,x23,x25,x32"
0,0.7666666666666667,4.030310762210335,ridge,1.0,0.18297105612076525,"x12,x23,x25,x32"
0,0.8333333333333334,3.5402534434463813,svm,sigmoid,0.14543460199556812,"x12,x23,x25,x32"
0,0.7333333333333333,3.5859048823241606,ridge,1.0,0.1529252203419782,"x12,x23,x25,x32"
0,0.8,3.383572715995817,svm,linear,-0.1257797408402097,"x12,x23,x25,x32"
0,0.7666666666666667,2.095181184755511,svm,linear,0.28491530940565757,"x12,x23,x25,x32"
0,0.7666666666666667,3.2505514504965065,svm,linear,0.056178069509160156,"x12,x23,x25,x32"
0,0.7333333333333333,3.8128048847293816,svm,linear,0.15043259960335953,"x12,x23,x25,x32"
0,0.8666666666666667,2.8630688934013717,svm,linear,0.12056015946535592,"x12,x23,x25,x32"
0,0.7333333333333333,2.951792772337044,ridge,1.0,0.2545735070623132,"x12,x23,x25,x32"
0,0.7333333333333333,3.8755685929162604,svm,linear,0.024278506349980633,"x12,x23,x25,x32"
0,0.8333333333333334,3.5904668256048464,svm,linear,0.033614634878872396,"x12,x23,x25,x32"
0,0.7666666666666667,2.5740515171856666,ridge,1.0,-0.09702015352379179,"x12,x23,x25,x32"
0,0.7666666666666667,5.9360395976735,svm,rbf,0.20108818507377513,"x12,x23,x25,x32"
0,0.7666666666666667,2.7230194631138813,ridge,1.0,-0.23273633882106104,"x12,x23,x25,x32"
0,0.8,3.001970396524521,ridge,1.0,0.17242930178974192,"x12,x23,x25,x32"
0,0.7666666666666667,4.3550505850863885,ridge,1.0,0.0509027060549766,"x12,x23,x25,x32"
0,0.7666666666666667,2.5190599880942153,ridge,1.0,0.15606440368735763,"x12,x23,x25,x32"
0,0.7333333333333333,3.9533795523243547,ridge,1.0,0.21568184949962665,"x12,x23,x25,x32"
0,0.8,3.4891398224654457,svm,sigmoid,0.13123879496490665,"x12,x23,x25,x32"
0,0.7333333333333333,5.062373300036902,svm,linear,0.2499979104244433,"x12,x23,x25,x32"
0,0.8,3.5538950696457388,svm,rbf,0.1083424259393343,"x12,x23,x25,x32"
0,0.8333333333333334,4.434583928517529,svm,rbf,-0.021257985596734308,"x12,x23,x25,x32"
0,0.7,3.527131239406029,ridge,1.0,0.2399327701037065,"x12,x23,x25,x32"
0,0.6,6.070972377031967,svm,sigmoid,-0.5869046935049498,"x12,x23,x25,x32"
0,0.7333333333333333,3.0058414435622236,svm,linear,0.24184888230262236,"x12,x23,x25,x32"
0,0.7,2.4207646809888903,svm,rbf,0.16245417453546407,"x12,x23,x25,x32"
0,0.6666666666666666,4.125401501508424,svm,linear,0.06527549379895747,"x12,x23,x25,x32"
0,0.6333333333333333,3.235403125787286,svm,rbf,0.09277156836198608,"x12,x23,x25,x32"
0,0.8,4.135211122286168,ridge,1.0,0.23332743993251726,"x12,x23,x25,x32"
0,0.7666666666666667,3.7219060211426176,svm,linear,0.005081802094032639,"x12,x23,x25,x32"
0,0.7333333333333333,4.538482633158072,svm,rbf,0.028057626409899727,"x12,x23,x25,x32"
0,0.7666666666666667,3.8135019747190864,svm,linear,0.11150648855688772,"x12,x23,x25,x32"
0,0.8,4.426228879738324,svm,linear,-0.05224982328128891,"x12,x23,x25,x32"
0,0.7,6.17547726277891,ridge,1.0,0.21689240631527407,"x12,x23,x25,x32"
0,0.7333333333333333,2.621381789334124,svm,linear,0.05780749099950944,"x12,x23,x25,x32"
0,0.7666666666666667,5.950388753884411,svm,rbf,0.08430172522891566,"x12,x23,x25,x32"
0,0.8333333333333334,3.046354944448849,svm,linear,0.18179638871791493,"x12,x23,x25,x32"
0,0.7333333333333333,2.6214399190611926,ridge,1.0,0.23066921131578189,"x12,x23,x25,x32"
0,0.8333333333333334,3.772062062971168,svm,linear,0.25206937625031145,"x12,x23,x25,x32"
0,0.6666666666666666,3.5452247859741566,ridge,1.0,0.16476530148832103,"x12,x23,x25,x32"
0,0.7666666666666667,3.935604600145264,svm,linear,0.05961756550918962,"x12,x23,x25,x32"
0,0.8,3.0494626907127467,svm,linear,0.13369357697583661,"x12,x23,x25,x32"
0,0.7666666666666667,2.809700486102339,ridge,1.0,0.08652811119500825,"x12,x23,x25,x32"
0,0.8333333333333334,3.912785191931461,svm,sigmoid,-0.21918949782161823,"x12,x23,x25,x32"
0,0.8,2.897387944770037,svm,rbf,-0.037894896030369996,"x12,x23,x25,x32"
0,0.7666666666666667,2.8369615006839917,ridge,1.0,0.08010894036878735,"x12,x23,x25,x32"
0,0.6666666666666666,3.107852509580538,svm,linear,0.1939238425924127,"x12,x23,x25,x32"
0,0.6666666666666666,3.412173147733162,svm,linear,-0.1148577345845403,"x12,x23,x25,x32"
0,0.6666666666666666,5.915674656783981,linear,,0.025612725478783238,"x12,x23,x25,x32"
0,0.7,3.563193030391141,ridge,1.0,-0.14479183185913458,"x12,x23,x25,x32"
0,0.6666666666666666,2.968267812219406,ridge,1.0,-0.021847251351780894,"x12,x23,x25,x32"
0,0.7,3.248075470663489,ridge,1.0,0.23423587076070218,"x12,x23,x25,x32"
0,0.6666666666666666,5.753285831278405,svm,rbf,0.20469533364125503,"x12,x23,x25,x32"
0,0.8,4.135641596203807,ridge,1.0,-0.20040503252099584,"x12,x23,x25,x32"
0,0.8333333333333334,3.595833213289627,ridge,1.0,0.2905196541979901,"x12,x23,x25,x32"
0,0.6,4.455088419482933,ridge,1.0,-0.07767498608114498,"x12,x23,x25,x32"
0,0.8333333333333334,3.9853902194469515,ridge,1.0,0.08734928218425786,"x12,x23,x25,x32"
0,0.7666666666666667,3.774725246147331,svm,linear,0.21131654407196787,"x12,x23,x25,x32"
0,0.6333333333333333,5.346113581152204,ridge,1.0,-0.4945615118091562,"x12,x23,x25,x32"
0,0.6666666666666666,2.627386990347462,svm,linear,0.07103914590762017,"x12,x23,x25,x32"
0,0.7666666666666667,5.460685078877802,svm,rbf,0.06720063276643595,"x12,x23,x25,x32"
0,0.8,3.4271910003861215,svm,linear,-0.05182945886052348,"x12,x23,x25,x32"
0,0.6333333333333333,2.8496209973330644,svm,linear,-0.1286335843800388,"x12,x23,x25,x32"
0,0.8,5.334124361548278,svm,linear,-0.08227778631183313,"x12,x23,x25,x32"
0,0.7,3.767888508977571,svm,linear,0.16229192469647602,"x12,x23,x25,x32"
0,0.7,4.0470431988089475,ridge,1.0,0.28876196418802313,"x12,x23,x25,x32"
0,0.6,4.289043310603801,svm,linear,0.03232318674397339,"x12,x23,x25,x32"
0,0.9,3.010869756024733,ridge,1.0,-0.18186798412739824,"x12,x23,x25,x32"
0,0.8666666666666667,2.766873203985858,svm,rbf,0.10743218831313417,"x12,x23,x25,x32"
0,0.7333333333333333,3.943067981445402,linear,,0.20368682368614732,"x12,x23,x25,x32"
0,0.7,3.66187468989592,ridge,1.0,0.09670240431180366,"x12,x23,x25,x32"
0,0.7333333333333333,4.956193122450443,ridge,1.0,0.0963353064287783,"x12,x23,x25,x32"
0,0.6666666666666666,3.758348222653458,svm,linear,0.28934925455344973,"x12,x23,x25,x32"
0,0.8,2.6329379759576477,svm,linear,0.3167617125619422,"x12,x23,x25,x32"
0,0.6666666666666666,5.275830518364311,svm,linear,0.22911495783253333,"x12,x23,x25,x32"
0,0.7,3.4060411214377293,ridge,1.0,0.12945821735613772,"x12,x23,x25,x32"
0,0.9,4.017912753346702,ridge,1.0,0.17041937000411822,"x12,x23,x25,x32"
0,0.7333333333333333,3.8215594060482294,ridge,1.0,0.11881833532253527,"x12,x23,x25,x32"
0,0.7666666666666667,3.415689871237444,ridge,1.0,0.14518353875115064,"x12,x23,x25,x32"
0,0.7,5.10386466805188,ridge,1.0,0.15612304842880242,"x12,x23,x25,x32"
0,0.7666666666666667,5.878006147145583,svm,linear,0.0014946612650428293,"x12,x23,x25,x32"
0,0.7,3.3499181439407946,svm,linear,-0.0632524736159541,"x12,x23,x25,x32"
0,0.7,4.921211149421334,svm,rbf,-0.4495168507392304,"x12,x23,x25,x32"
0,0.7666666666666667,2.360231412864668,ridge,1.0,0.2630863543309744,"x12,x23,x25,x32"
0,0.8333333333333334,3.060434125709038,ridge,1.0,0.2266448248745212,"x12,x23,x25,x32"
0,0.8,2.469678948857882,ridge,1.0,0.22509661081697185,"x12,x23,x25,x32"
0,0.7666666666666667,3.7798322935839974,svm,linear,-0.05217024567566586,"x12,x23,x25,x32"
0,0.8666666666666667,4.123343946731905,svm,linear,0.05857134635206207,"x12,x23,x25,x32"
0,0.7666666666666667,3.319927273053189,svm,linear,0.11575308303425347,"x12,x23,x25,x32"
0,0.6,3.9915231705663525,svm,linear,0.25084786941391723,"x12,x23,x25,x32"
0,0.7333333333333333,3.530936316223431,svm,linear,0.07780893340977268,"x12,x23,x25,x32"
0,0.7666666666666667,5.252815553212817,svm,linear,0.10829023987724606,"x12,x23,x25,x32"
0,0.8,4.4645903058750465,ridge,1.0,0.2398082329707355,"x12,x23,x25,x32"
0,0.7,4.410772838070302,ridge,1.0,0.25363861255641573,"x12,x23,x25,x32"
0,0.8,5.711032648832456,svm,rbf,-0.07531774877929509,"x12,x23,x25,x32"
0,0.8,4.722202538523666,svm,sigmoid,0.12897142370407266,"x12,x23,x25,x32"
0,0.7666666666666667,2.642754661591799,svm,linear,0.09260527500929872,"x12,x23,x25,x32"
0,0.7,3.8740229756529265,svm,linear,-0.10866954235171189,"x12,x23,x25,x32"
0,0.9,3.6154809281790747,svm,linear,-0.22613361304968604,"x12,x23,x25,x32"
0,0.6333333333333333,2.924864700092576,ridge,1.0,0.05971724065461104,"x12,x23,x25,x32"
0,0.8333333333333334,3.5867505108033773,svm,linear,0.010965404170004356,"x12,x23,x25,x32"
0,0.8,3.486355557331863,ridge,1.0,-0.4503905098046286,"x12,x23,x25,x32"
0,0.8333333333333334,4.208055657776417,svm,rbf,0.12213640087989341,"x12,x23,x25,x32"
0,0.6666666666666666,4.728976062515755,ridge,1.0,0.023926365003820615,"x12,x23,x25,x32"
0,0.8666666666666667,3.845687566810552,svm,rbf,0.07007849396047716,"x12,x23,x25,x32"
0,0.9,3.5004301733742116,svm,rbf,-0.22091237152856436,"x12,x23,x25,x32"
0,0.9,3.6435704855737105,ridge,1.0,-0.10016475854182705,"x12,x23,x25,x32"
0,0.9,1.816391836393655,svm,linear,0.11313782139021356,"x12,x23,x25,x32"
0,0.8,3.5278770363924608,ridge,1.0,-0.0087660690772422,"x12,x23,x25,x32"
0,0.7666666666666667,3.8776426424909403,svm,linear,-0.06006202030865415,"x12,x23,x25,x32"
0,0.7,4.033146402873228,ridge,1.0,0.0837171397567037,"x12,x23,x25,x32"
0,0.8,3.562829622193011,svm,rbf,0.31291918962532717,"x12,x23,x25,x32"
0,0.7,3.718682993656803,svm,linear,0.2807742170890668,"x12,x23,x25,x32"
0,0.7666666666666667,5.368867144073421,svm,rbf,0.01700633743841007,"x12,x23,x25,x32"
0,0.7666666666666667,4.09670240041715,svm,rbf,-0.09771737997395014,"x12,x23,x25,x32"
0,0.7333333333333333,3.304703499822165,ridge,1.0,0.147489312656938,"x12,x23,x25,x32"
0,0.7666666666666667,4.069913851086589,svm,linear,0.08324669185937061,"x12,x23,x25,x32"
0,0.6666666666666666,4.330433116167703,svm,rbf,0.06220141352846398,"x12,x23,x25,x32"
0,0.8666666666666667,4.359882271251385,svm,rbf,0.16041030289548786,"x12,x23,x25,x32"
0,0.8333333333333334,2.626257098549742,ridge,1.0,0.10635056631443074,"x12,x23,x25,x32"
0,0.6666666666666666,3.968505240940972,svm,linear,0.22690813211488747,"x12,x23,x25,x32"
0,0.6666666666666666,5.206023778569672,svm,sigmoid,-0.9453444082791629,"x12,x23,x25,x32"
0,0.6333333333333333,5.897299088960377,ridge,1.0,-0.36379732431554523,"x12,x23,x25,x32"
0,0.7,4.65300085891321,ridge,1.0,0.0856536370116211,"x12,x23,x25,x32"
0,0.8,5.2094857093671605,svm,sigmoid,0.06801230212333476,"x12,x23,x25,x32"
0,0.8,4.096980459978094,svm,linear,0.2192263914040038,"x12,x23,x25,x32"
0,0.7666666666666667,5.102376151816093,svm,linear,0.00186122581594228,"x12,x23,x25,x32"
0,0.7333333333333333,3.8630332756400936,ridge,1.0,0.08791325274973028,"x12,x23,x25,x32"
0,0.6666666666666666,5.436315019426227,svm,linear,-0.14053828678934122,"x12,x23,x25,x32"
0,0.7,3.7821827461796413,svm,linear,0.09614266155497575,"x12,x23,x25,x32"
